Year,Artist,Artist (original),Name,Spotify,RAND
2007,ALICIA KEYS,ALICIA KEYS,No One,http://open.spotify.com/track/6IwKcFdiRQZOWeYNhUiWIv,0.750508476
2018,JAMES ARTHUR & ANNE-MARIE,JAMES ARTHUR,Rewrite The Stars,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV?si=zqcHu2BpQeuNJKrjrqjTaA,0.992140046
2000,BRITNEY SPEARS,BRITNEY SPEARS,Oops! I Did It Again,http://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,0.842797955
2007,PLAIN WHITE T's,PLAIN WHITE T'S,Hey There Delilah,http://open.spotify.com/track/4RCWB3V8V0dignt99LZ8vH,0.936924827
2016,IMANY,IMANY,Don't Be So Shy (Filatov & Karas Remix),http://open.spotify.com/track/5BdyLPUrtE5IweoiQsxScs,0.097954152
1996,CLOUSEAU,CLOUSEAU,Nobelprijs,http://open.spotify.com/track/3k00o3Q8Ex7pdfDD1rG92M,0.079092574
1998,ALL SAINTS,ALL SAINTS,Never Ever,http://open.spotify.com/track/6ZqShH7EyyJ5ofSs8CZ9pT,0.174869181
1994,GREEN DAY,GREEN DAY,Basket Case,http://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s,0.464135257
2009,ADELE,ADELE,Make You Feel My Love,http://open.spotify.com/track/5FgPwJ7Nh2FVmIXviKl2VF,0.447139529
1985,U2,U2,Sunday Bloody Sunday,http://open.spotify.com/track/6C4LXC9UFH1IKiHYOp0BiJ,0.271371064
1988,TRACY CHAPMAN,TRACY CHAPMAN,Fast Car,http://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,0.801718107
2020,OFENBACH & QUARTERHEAD,OFENBACH,Head Shoulders Knees & Toes,http://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG,0.155417052
1997,BACKSTREET BOYS,BACKSTREET BOYS,Everybody (Backstreet's Back),http://open.spotify.com/track/4rTeOSYqwXNz5qPR2DUTFZ,0.958645472
1998,CHER,CHER,Believe,http://open.spotify.com/track/2goLsvvODILDzeeiT4dAoR,0.181731719
1992,GUNS 'N' ROSES,GUNS N' ROSES,Knockin' On Heaven's Door,http://open.spotify.com/track/2C4aYxNpoPkmoZ3ZdPeuOB,0.526620553
1996,CHAKA KHAN,CHAKA KHAN,Ain't Nobody,https://open.spotify.com/track/2NVpYQqdraEcQwqT7GhUkh?si=d846c0f78bc94c8f,0.303310488
1978,ABBA,ABBA,Thank You For The Music,http://open.spotify.com/track/08GOw3NsrJ0LsCCeyqzt3b,0.554500234
1984,GEORGE MICHAEL,GEORGE MICHAEL,Careless Whisper,http://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY,0.756202348
2016,MILOW,MILOW,Howling At The Moon,http://open.spotify.com/track/0lj2nJSYWe41NhF07SRAtI,0.077160556
1977,QUEEN,QUEEN,We Will Rock You,http://open.spotify.com/track/54flyrjcdnQdco7300avMJ,0.61049292
1988,ERIC CLAPTON,ERIC CLAPTON,Wonderful Tonight,http://open.spotify.com/track/6zC0mpGYwbNTpk9SKwh08f,0.936334012
2009,KINGS OF LEON,KINGS OF LEON,Use Somebody,http://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2,0.968792209
2011,DON OMAR and LUCENZO,DON OMAR ,Danza Kuduro,https://open.spotify.com/track/6DXLO8LndZMVOHM0wNbpzg,0.46169467
2024,BENSON BOONE,BENSON BOONE,Beautiful Things,http://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9,0.503003594
